trial,rt,acc,key,t_pre_stim,t_delay1,t_delay2,first_cat,second_cat,first_num,second_num,first_pic,second_pic,probe_cat,probe_pic,probe_validity,probe_num,correct_answer,rt_sliding_mean,cat_comparison,num_comparison,error_type
205.0,3.9639623165130615,0.0,1.0,,,,4.0,1.0,1,1,4017.0,1019.0,1.0,1.0,0.0,0.0,0.0,4.815794348716736,Different,Same,swap error
206.0,2.5266456604003906,1.0,5.0,,,,1.0,3.0,1,5,1017.0,3025.0,3.0,2.0,1.0,5.0,5.0,4.784609603881836,Different,Different,correct
207.0,1.3920929431915283,0.0,5.0,,,,2.0,1.0,5,5,2021.0,1029.0,1.0,1.0,0.0,0.0,0.0,4.580996823310852,Different,Same,swap error
208.0,21.65353012084961,0.0,0.0,,,,2.0,3.0,1,5,2012.0,3028.0,3.0,2.0,1.0,5.0,5.0,6.343873524665833,Different,Different,swap error
209.0,2.1273677349090576,1.0,1.0,,,,2.0,1.0,1,5,2019.0,1029.0,2.0,1.0,1.0,1.0,1.0,6.246835017204285,Different,Different,correct
210.0,3.066868305206299,1.0,5.0,,,,3.0,1.0,5,5,3029.0,1024.0,1.0,2.0,1.0,5.0,5.0,6.399625825881958,Different,Same,correct
211.0,4.045327186584473,1.0,5.0,,,,3.0,4.0,5,5,3028.0,4029.0,3.0,1.0,1.0,5.0,5.0,6.6797383546829225,Different,Same,correct
212.0,3.9197285175323486,0.0,5.0,,,,4.0,2.0,5,1,4024.0,2014.0,2.0,2.0,1.0,1.0,1.0,6.414553165435791,Different,Different,other error
213.0,1.2955889701843262,1.0,1.0,,,,4.0,1.0,5,1,4022.0,1014.0,1.0,2.0,1.0,1.0,1.0,4.601517510414124,Different,Different,correct
214.0,2.0126607418060303,0.0,1.0,,,,4.0,2.0,5,1,4021.0,2012.0,2.0,1.0,0.0,0.0,0.0,4.600377249717712,Different,Different,swap error
