trial,rt,acc,key,t_pre_stim,t_delay1,t_delay2,first_cat,second_cat,first_num,second_num,first_pic,second_pic,probe_cat,probe_pic,probe_validity,probe_num,correct_answer,rt_sliding_mean,cat_comparison,num_comparison,error_type
166.0,6.939062595367432,1.0,5.0,,,,3.0,2.0,5,5,3023.0,2023.0,3.0,1.0,1.0,5.0,5.0,4.951714372634887,Different,Same,correct
167.0,3.6537556648254395,1.0,5.0,,,,1.0,1.0,5,5,1025.0,1023.0,1.0,1.0,1.0,5.0,5.0,4.83816123008728,Same,Same,correct
168.0,6.562565326690674,1.0,0.0,,,,2.0,4.0,1,1,2012.0,4014.0,4.0,1.0,0.0,0.0,0.0,5.022400569915772,Different,Same,correct
169.0,4.02902626991272,1.0,1.0,,,,3.0,2.0,5,1,3024.0,2016.0,2.0,2.0,1.0,1.0,1.0,5.038795113563538,Different,Different,correct
170.0,5.142589092254639,1.0,0.0,,,,3.0,3.0,1,5,3017.0,3028.0,2.0,1.0,0.0,0.0,0.0,5.013394522666931,Same,Different,correct
171.0,4.434872150421143,1.0,5.0,,,,3.0,1.0,5,5,3029.0,1027.0,1.0,2.0,1.0,5.0,5.0,4.86227810382843,Different,Same,correct
172.0,4.702998638153076,1.0,5.0,,,,1.0,3.0,5,5,1028.0,3027.0,3.0,2.0,1.0,5.0,5.0,4.8448339939117435,Different,Same,correct
173.0,6.652480125427246,1.0,1.0,,,,4.0,1.0,1,5,4012.0,1028.0,4.0,1.0,1.0,1.0,1.0,4.981710696220398,Different,Different,correct
174.0,3.599797487258911,0.0,1.0,,,,3.0,1.0,1,1,3015.0,1014.0,3.0,2.0,0.0,0.0,0.0,5.041333079338074,Different,Same,swap error
175.0,5.355890989303589,1.0,1.0,,,,1.0,4.0,1,5,1012.0,4022.0,1.0,1.0,1.0,1.0,1.0,5.1073038339614865,Different,Different,correct
176.0,3.223292350769043,1.0,1.0,,,,4.0,4.0,1,5,4018.0,4023.0,4.0,1.0,1.0,1.0,1.0,4.735726809501648,Same,Different,correct
177.0,2.198981761932373,1.0,1.0,,,,3.0,2.0,1,5,3016.0,2025.0,3.0,1.0,1.0,1.0,1.0,4.590249419212341,Different,Different,correct
178.0,6.49192476272583,1.0,5.0,,,,2.0,2.0,5,1,2028.0,2014.0,2.0,1.0,1.0,5.0,5.0,4.583185362815857,Same,Different,correct
179.0,2.4145166873931885,1.0,5.0,,,,4.0,4.0,5,5,4026.0,4025.0,4.0,2.0,1.0,5.0,5.0,4.421734404563904,Same,Same,correct
180.0,3.3218801021575928,1.0,1.0,,,,2.0,4.0,1,1,2017.0,4011.0,2.0,1.0,1.0,1.0,1.0,4.2396635055542,Different,Same,correct
181.0,3.458223819732666,1.0,5.0,,,,2.0,2.0,1,5,2012.0,2024.0,2.0,2.0,1.0,5.0,5.0,4.141998672485352,Same,Different,correct
182.0,6.374057054519653,1.0,0.0,,,,4.0,1.0,5,1,4021.0,1012.0,4.0,2.0,0.0,0.0,0.0,4.3091045141220095,Different,Different,correct
183.0,3.6521835327148438,1.0,0.0,,,,1.0,2.0,5,5,1023.0,2028.0,1.0,2.0,0.0,0.0,0.0,4.009074854850769,Different,Same,correct
184.0,3.2424771785736084,1.0,0.0,,,,1.0,1.0,5,1,1029.0,1016.0,4.0,2.0,0.0,0.0,0.0,3.9733428239822386,Same,Different,correct
185.0,5.445236682891846,0.0,5.0,,,,4.0,1.0,5,1,4027.0,1019.0,1.0,1.0,0.0,0.0,0.0,3.9822773933410645,Different,Different,other error
